metric,bin,left,right,count
acute,45,121.4168574537,124.1111948341,7
acute,46,124.1111948341,126.8055322146,9
acute,47,126.8055322146,129.4998695951,7
acute,48,129.4998695951,132.1942069756,7
acute,49,132.1942069756,134.8885443560,7
acute,50,134.8885443560,137.5828817365,3
acute,51,137.5828817365,140.2772191170,2
acute,52,140.2772191170,142.9715564975,3
acute,53,142.9715564975,145.6658938779,6
acute,54,145.6658938779,148.3602312584,2
acute,55,148.3602312584,151.0545686389,6
acute,56,151.0545686389,153.7489060194,0
acute,57,153.7489060194,156.4432433999,1
acute,58,156.4432433999,159.1375807803,0
acute,59,159.1375807803,161.8319181608,5
acute,60,161.8319181608,164.5262555413,1
acute,61,164.5262555413,167.2205929218,1
acute,62,167.2205929218,169.9149303022,0
acute,63,169.9149303022,172.6092676827,4
acute,64,172.6092676827,175.3036050632,1
acute,65,175.3036050632,177.9979424437,2
acute,66,177.9979424437,180.6922798242,0
acute,67,180.6922798242,183.3866172046,1
acute,68,183.3866172046,186.0809545851,0
acute,69,186.0809545851,188.7752919656,1
hangover,0,0.0066108741,0.0266859050,2353
hangover,1,0.0266859050,0.0467609359,2245
hangover,2,0.0467609359,0.0668359668,2428
hangover,3,0.0668359668,0.0869109976,1099
hangover,4,0.0869109976,0.1069860285,1722
hangover,5,0.1069860285,0.1270610594,1176
hangover,6,0.1270610594,0.1471360903,876
hangover,7,0.1471360903,0.1672111212,713
hangover,8,0.1672111212,0.1872861520,1098
hangover,9,0.1872861520,0.2073611829,561
hangover,10,0.2073611829,0.2274362138,666
hangover,11,0.2274362138,0.2475112447,140
hangover,12,0.2475112447,0.2675862755,600
hangover,13,0.2675862755,0.2876613064,143
hangover,14,0.2876613064,0.3077363373,138
hangover,15,0.3077363373,0.3278113682,330
hangover,16,0.3278113682,0.3478863990,374
hangover,17,0.3478863990,0.3679614299,423
hangover,18,0.3679614299,0.3880364608,316
hangover,19,0.3880364608,0.4081114917,78
hangover,20,0.4081114917,0.4281865226,68
hangover,21,0.4281865226,0.4482615534,167
hangover,22,0.4482615534,0.4683365843,75
hangover,23,0.4683365843,0.4884116152,44
hangover,24,0.4884116152,0.5084866461,246
hangover,25,0.5084866461,0.5285616769,285
hangover,26,0.5285616769,0.5486367078,72
hangover,27,0.5486367078,0.5687117387,4
hangover,28,0.5687117387,0.5887867696,0
hangover,29,0.5887867696,0.6088618005,1
hangover,30,0.6088618005,0.6289368313,35
hangover,31,0.6289368313,0.6490118622,166
hangover,32,0.6490118622,0.6690868931,243
hangover,33,0.6690868931,0.6891619240,128
hangover,34,0.6891619240,0.7092369548,74
hangover,35,0.7092369548,0.7293119857,111
hangover,36,0.7293119857,0.7493870166,104
hangover,37,0.7493870166,0.7694620475,44
hangover,38,0.7694620475,0.7895370783,9
hangover,39,0.7895370783,0.8096121092,2
hangover,40,0.8096121092,0.8296871401,0
hangover,41,0.8296871401,0.8497621710,0
hangover,42,0.8497621710,0.8698372019,0
hangover,43,0.8698372019,0.8899122327,0
hangover,44,0.8899122327,0.9099872636,0
hangover,45,0.9099872636,0.9300622945,0
hangover,46,0.9300622945,0.9501373254,3
hangover,47,0.9501373254,0.9702123562,9
hangover,48,0.9702123562,0.9902873871,37
hangover,49,0.9902873871,1.0103624180,61
hangover,50,1.0103624180,1.0304374489,79
hangover,51,1.0304374489,1.0505124797,74
hangover,52,1.0505124797,1.0705875106,36
hangover,53,1.0705875106,1.0906625415,11
hangover,54,1.0906625415,1.1107375724,2
hangover,55,1.1107375724,1.1308126033,0
hangover,56,1.1308126033,1.1508876341,0
hangover,57,1.1508876341,1.1709626650,0
hangover,58,1.1709626650,1.1910376959,0
hangover,59,1.1910376959,1.2111127268,1
hangover,60,1.2111127268,1.2311877576,4
hangover,61,1.2311877576,1.2512627885,13
hangover,62,1.2512627885,1.2713378194,22
hangover,63,1.2713378194,1.2914128503,54
hangover,64,1.2914128503,1.3114878812,54
hangover,65,1.3114878812,1.3315629120,72
hangover,66,1.3315629120,1.3516379429,65
hangover,67,1.3516379429,1.3717129738,28
hangover,68,1.3717129738,1.3917880047,12
hangover,69,1.3917880047,1.4118630355,6
chronic,0,0.0068402882,0.0194681600,326
chronic,1,0.0194681600,0.0320960319,1112
chronic,2,0.0320960319,0.0447239037,1558
chronic,3,0.0447239037,0.0573517756,1698
chronic,4,0.0573517756,0.0699796474,1629
chronic,5,0.0699796474,0.0826075193,1541
chronic,6,0.0826075193,0.0952353911,1452
chronic,7,0.0952353911,0.1078632629,1157
chronic,8,0.1078632629,0.1204911348,1025
chronic,9,0.1204911348,0.1331190066,928
chronic,10,0.1331190066,0.1457468785,772
chronic,11,0.1457468785,0.1583747503,666
chronic,12,0.1583747503,0.1710026222,610
chronic,13,0.1710026222,0.1836304940,615
chronic,14,0.1836304940,0.1962583659,454
chronic,15,0.1962583659,0.2088862377,458
chronic,16,0.2088862377,0.2215141096,382
chronic,17,0.2215141096,0.2341419814,323
chronic,18,0.2341419814,0.2467698532,266
chronic,19,0.2467698532,0.2593977251,304
chronic,20,0.2593977251,0.2720255969,247
chronic,21,0.2720255969,0.2846534688,216
chronic,22,0.2846534688,0.2972813406,203
