metric,bin,left,right,count
hangover,49,0.0000000000,0.0000000000,0
hangover,50,0.0000000000,0.0000000000,0
hangover,51,0.0000000000,0.0000000000,0
hangover,52,0.0000000000,0.0000000000,0
hangover,53,0.0000000000,0.0000000000,0
hangover,54,0.0000000000,0.0000000000,0
hangover,55,0.0000000000,0.0000000000,0
hangover,56,0.0000000000,0.0000000000,0
hangover,57,0.0000000000,0.0000000000,0
hangover,58,0.0000000000,0.0000000000,0
hangover,59,0.0000000000,0.0000000000,0
hangover,60,0.0000000000,0.0000000000,0
hangover,61,0.0000000000,0.0000000000,0
hangover,62,0.0000000000,0.0000000000,0
hangover,63,0.0000000000,0.0000000000,0
hangover,64,0.0000000000,0.0000000000,0
hangover,65,0.0000000000,0.0000000000,0
hangover,66,0.0000000000,0.0000000000,0
hangover,67,0.0000000000,0.0000000000,0
hangover,68,0.0000000000,0.0000000000,0
hangover,69,0.0000000000,0.0000000000,0
chronic,0,0.0070424312,0.0204427094,399
chronic,1,0.0204427094,0.0338429876,1298
chronic,2,0.0338429876,0.0472432658,1647
chronic,3,0.0472432658,0.0606435439,1804
chronic,4,0.0606435439,0.0740438221,1688
chronic,5,0.0740438221,0.0874441003,1520
chronic,6,0.0874441003,0.1008443785,1417
chronic,7,0.1008443785,0.1142446566,1185
chronic,8,0.1142446566,0.1276449348,1025
chronic,9,0.1276449348,0.1410452130,867
chronic,10,0.1410452130,0.1544454911,790
chronic,11,0.1544454911,0.1678457693,624
chronic,12,0.1678457693,0.1812460475,647
chronic,13,0.1812460475,0.1946463257,540
chronic,14,0.1946463257,0.2080466038,452
chronic,15,0.2080466038,0.2214468820,412
chronic,16,0.2214468820,0.2348471602,364
chronic,17,0.2348471602,0.2482474384,316
chronic,18,0.2482474384,0.2616477165,275
chronic,19,0.2616477165,0.2750479947,261
chronic,20,0.2750479947,0.2884482729,243
chronic,21,0.2884482729,0.3018485510,239
chronic,22,0.3018485510,0.3152488292,185
chronic,23,0.3152488292,0.3286491074,178
chronic,24,0.3286491074,0.3420493856,141
chronic,25,0.3420493856,0.3554496637,151
chronic,26,0.3554496637,0.3688499419,152
chronic,27,0.3688499419,0.3822502201,119
chronic,28,0.3822502201,0.3956504983,111
chronic,29,0.3956504983,0.4090507764,100
chronic,30,0.4090507764,0.4224510546,85
chronic,31,0.4224510546,0.4358513328,83
chronic,32,0.4358513328,0.4492516110,67
chronic,33,0.4492516110,0.4626518891,52
chronic,34,0.4626518891,0.4760521673,64
chronic,35,0.4760521673,0.4894524455,58
chronic,36,0.4894524455,0.5028527236,65
chronic,37,0.5028527236,0.5162530018,32
chronic,38,0.5162530018,0.5296532800,44
chronic,39,0.5296532800,0.5430535582,39
chronic,40,0.5430535582,0.5564538363,32
chronic,41,0.5564538363,0.5698541145,27
chronic,42,0.5698541145,0.5832543927,21
chronic,43,0.5832543927,0.5966546709,17
chronic,44,0.5966546709,0.6100549490,24
chronic,45,0.6100549490,0.6234552272,18
chronic,46,0.6234552272,0.6368555054,14
chronic,47,0.6368555054,0.6502557836,16
chronic,48,0.6502557836,0.6636560617,14
chronic,49,0.6636560617,0.6770563399,5
chronic,50,0.6770563399,0.6904566181,7
chronic,51,0.6904566181,0.7038568962,12
chronic,52,0.7038568962,0.7172571744,6
chronic,53,0.7172571744,0.7306574526,5
chronic,54,0.7306574526,0.7440577308,7
chronic,55,0.7440577308,0.7574580089,4
chronic,56,0.7574580089,0.7708582871,4
chronic,57,0.7708582871,0.7842585653,3
chronic,58,0.7842585653,0.7976588435,3
chronic,59,0.7976588435,0.8110591216,7
chronic,60,0.8110591216,0.8244593998,2
chronic,61,0.8244593998,0.8378596780,3
chronic,62,0.8378596780,0.8512599562,2
chronic,63,0.8512599562,0.8646602343,2
chronic,64,0.8646602343,0.8780605125,2
chronic,65,0.8780605125,0.8914607907,1
chronic,66,0.8914607907,0.9048610688,2
chronic,67,0.9048610688,0.9182613470,0
