metric,bin,left,right,count
chronic,30,0.0000000000,0.0000000000,0
chronic,31,0.0000000000,0.0000000000,0
chronic,32,0.0000000000,0.0000000000,0
chronic,33,0.0000000000,0.0000000000,0
chronic,34,0.0000000000,0.0000000000,0
chronic,35,0.0000000000,0.0000000000,0
chronic,36,0.0000000000,0.0000000000,0
chronic,37,0.0000000000,0.0000000000,0
chronic,38,0.0000000000,0.0000000000,0
chronic,39,0.0000000000,0.0000000000,0
chronic,40,0.0000000000,0.0000000000,0
chronic,41,0.0000000000,0.0000000000,0
chronic,42,0.0000000000,0.0000000000,0
chronic,43,0.0000000000,0.0000000000,0
chronic,44,0.0000000000,0.0000000000,0
chronic,45,0.0000000000,0.0000000000,0
chronic,46,0.0000000000,0.0000000000,0
chronic,47,0.0000000000,0.0000000000,0
chronic,48,0.0000000000,0.0000000000,0
chronic,49,0.0000000000,0.0000000000,0
chronic,50,0.0000000000,0.0000000000,0
chronic,51,0.0000000000,0.0000000000,0
chronic,52,0.0000000000,0.0000000000,0
chronic,53,0.0000000000,0.0000000000,0
chronic,54,0.0000000000,0.0000000000,0
chronic,55,0.0000000000,0.0000000000,0
chronic,56,0.0000000000,0.0000000000,0
chronic,57,0.0000000000,0.0000000000,0
chronic,58,0.0000000000,0.0000000000,0
chronic,59,0.0000000000,0.0000000000,0
chronic,60,0.0000000000,0.0000000000,0
chronic,61,0.0000000000,0.0000000000,0
chronic,62,0.0000000000,0.0000000000,0
chronic,63,0.0000000000,0.0000000000,0
chronic,64,0.0000000000,0.0000000000,0
chronic,65,0.0000000000,0.0000000000,0
chronic,66,0.0000000000,0.0000000000,0
chronic,67,0.0000000000,0.0000000000,0
chronic,68,0.0000000000,0.0000000000,0
chronic,69,0.0000000000,0.0000000000,0
aud,0,0.0000000000,0.9977059636,15910
aud,1,0.9977059636,1.9954119272,937
aud,2,1.9954119272,2.9931178908,619
aud,3,2.9931178908,3.9908238543,474
aud,4,3.9908238543,4.9885298179,331
aud,5,4.9885298179,5.9862357815,303
aud,6,5.9862357815,6.9839417451,224
aud,7,6.9839417451,7.9816477087,190
aud,8,7.9816477087,8.9793536723,141
aud,9,8.9793536723,9.9770596358,110
aud,10,9.9770596358,10.9747655994,119
aud,11,10.9747655994,11.9724715630,84
aud,12,11.9724715630,12.9701775266,67
aud,13,12.9701775266,13.9678834902,70
aud,14,13.9678834902,14.9655894538,50
aud,15,14.9655894538,15.9632954173,55
aud,16,15.9632954173,16.9610013809,31
aud,17,16.9610013809,17.9587073445,37
aud,18,17.9587073445,18.9564133081,24
aud,19,18.9564133081,19.9541192717,31
aud,20,19.9541192717,20.9518252353,15
aud,21,20.9518252353,21.9495311988,13
aud,22,21.9495311988,22.9472371624,20
aud,23,22.9472371624,23.9449431260,17
aud,24,23.9449431260,24.9426490896,18
aud,25,24.9426490896,25.9403550532,15
aud,26,25.9403550532,26.9380610168,11
aud,27,26.9380610168,27.9357669803,14
aud,28,27.9357669803,28.9334729439,9
aud,29,28.9334729439,29.9311789075,7
aud,30,29.9311789075,30.9288848711,6
aud,31,30.9288848711,31.9265908347,3
aud,32,31.9265908347,32.9242967983,5
aud,33,32.9242967983,33.9220027618,5
aud,34,33.9220027618,34.9197087254,4
aud,35,34.9197087254,35.9174146890,0
aud,36,35.9174146890,36.9151206526,3
aud,37,36.9151206526,37.9128266162,3
aud,38,37.9128266162,38.9105325798,3
aud,39,38.9105325798,39.9082385433,4
aud,40,39.9082385433,40.9059445069,2
aud,41,40.9059445069,41.9036504705,2
aud,42,41.9036504705,42.9013564341,0
aud,43,42.9013564341,43.8990623977,2
aud,44,43.8990623977,44.8967683613,2
aud,45,44.8967683613,45.8944743248,2
aud,46,45.8944743248,46.8921802884,3
aud,47,46.8921802884,47.8898862520,0
aud,48,47.8898862520,48.8875922156,0
aud,49,48.8875922156,49.8852981792,0
aud,50,49.8852981792,50.8830041428,0
aud,51,50.8830041428,51.8807101063,0
aud,52,51.8807101063,52.8784160699,0
aud,53,52.8784160699,53.8761220335,0
aud,54,53.8761220335,54.8738279971,3
aud,55,54.8738279971,55.8715339607,0
aud,56,55.8715339607,56.8692399243,0
aud,57,56.8692399243,57.8669458878,1
aud,58,57.8669458878,58.8646518514,0
aud,59,58.8646518514,59.8623578150,0
aud,60,59.8623578150,60.8600637786,0
aud,61,60.8600637786,61.8577697422,0
aud,62,61.8577697422,62.8554757058,0
aud,63,62.8554757058,63.8531816693,0
aud,64,63.8531816693,64.8508876329,0
aud,65,64.8508876329,65.8485935965,0
aud,66,65.8485935965,66.8462995601,0
aud,67,66.8462995601,67.8440055237,0
aud,68,67.8440055237,68.8417114873,0
aud,69,68.8417114873,69.8394174509,1
ihd,0,-0.2003207547,-0.1974590296,71
ihd,1,-0.1974590296,-0.1945973046,0
ihd,2,-0.1945973046,-0.1917355795,0
ihd,3,-0.1917355795,-0.1888738544,0
ihd,4,-0.1888738544,-0.1860121294,0
ihd,5,-0.1860121294,-0.1831504043,0
ihd,6,-0.1831504043,-0.1802886792,0
ihd,7,-0.1802886792,-0.1774269542,0
ihd,8,-0.1774269542,-0.1745652291,61
ihd,9,-0.1745652291,-0.1717035040,0
ihd,10,-0.1717035040,-0.1688417790,0
ihd,11,-0.1688417790,-0.1659800539,0
ihd,12,-0.1659800539,-0.1631183288,0
ihd,13,-0.1631183288,-0.1602566038,0
